STATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Average
Alabama,11.5,11.73,11.73,11.44,11.50,11.66,11.54,11.60,–,–,–,–,11.58
Alaska,18.33,18.52,18.97,20.35,20.64,20.76,19.51,19.16,–,–,–,–,19.53
Arizona,9.66,9.71,9.73,10.23,11.30,11.23,12.74,10.92,–,–,–,–,10.69
Arkansas,8.01,8.14,8.09,8.5,8.56,8.77,8.7,8.65,–,–,–,–,8.42
California,13.99,14.21,14.31,13.94,14.93,17.32,17.69,17.73,–,–,–,–,15.51
Colorado,9.17,9.3,9.38,9.64,9.83,10.72,10.36,10.41,–,–,–,–,9.85
Connecticut,15.60,15.76,15.85,15.81,16.16,16.03,16.33,16.12,–,–,–,–,15.95
Delaware,9.78,10.16,10.42,9.95,10.48,9.81,9.43,9.81,–,–,–,–,9.98
DC,11.76,11.88,12.02,11.93,11.55,11.63,11.13,11.09,–,–,–,–,11.62
Florida,9.48,9.67,9.66,9.55,9.29,9.6,9.49,9.52,–,–,–,–,9.53
Georgia,9.80,9.91,10.01,10.03,9.79,9.92,10.09,10.06,–,–,–,–,9.95
Hawaii,26.35,26.47,26.45,26.46,26.36,26.95,26.5,26.22,–,–,–,–,26.47
Idaho,7.43,7.52,7.59,7.99,7.78,9.35,8.21,8.25,–,–,–,–,8.01
Illinois,8.3,8.37,8.80,9.07,9.23,9.06,8.83,8.86,–,–,–,–,8.81
Indiana,10.10,10.23,10.24,10.41,10.3,10.37,10.17,10.29,–,–,–,–,10.26
Iowa,8.67,8.68,8.62,8.96,9.39,10.84,11.57,11.61,–,–,–,–,9.79
Kansas,9.74,9.99,10.09,10.53,10.57,10.99,10.74,11.04,–,–,–,–,10.46
Kentucky,9.48,9.61,9.59,9.76,9.6,9.67,9.66,9.68,–,–,–,–,9.63
Louisiana,7.64,8.41,8.64,8.87,8.98,9.39,9.16,8.91,–,–,–,–,8.75
Maine,12.37,12.48,12.48,12.18,12.09,11.98,12.2,12.29,–,–,–,–,12.25
Maryland,11.17,11.23,11.14,11.07,10.96,10.61,10.33,10.61,–,–,–,–,10.89
Massachusetts,15.29,15.35,15.28,15.02,15.01,15.74,16.2,16.45,–,–,–,–,15.54
Michigan,10.84,11.03,11.05,10.81,11.54,11.09,10.91,11.07,–,–,–,–,11.04
Minnesota,9.57,10.26,10.10,10.59,10.71,11.21,11.43,11.01,–,–,–,–,10.61
Mississippi,10.12,10.29,10.35,10.47,10.29,10.27,10.12,10.06,–,–,–,–,10.24
Missouri,8.1,8.23,8.29,8.55,10.01,10.81,10.77,11.01,–,–,–,–,9.47
Montana,9.98,9.92,9.96,10.22,10.46,10.49,10.25,10.10,–,–,–,–,10.17
Nebraska,8.40,8.46,8.59,8.72,8.97,9.67,9.57,9.44,–,–,–,–,8.97
Nevada,7.77,7.86,7.85,8.02,7.85,7.59,7.92,8.08,–,–,–,–,7.86
New Hampshire,14.32,14.58,14.62,14.48,14.78,14.69,14.63,14.64,–,–,–,–,14.59
New Jersey,11.96,12,12.03,12.24,12.97,13.34,12.97,13.01,–,–,–,–,12.56
New Mexico,9.39,9.75,9.83,9.97,10.25,10.93,11.24,10.82,–,–,–,–,10.27
New York,13.87,13.65,13.82,13.78,14.54,15.96,16.11,15.97,–,–,–,–,14.71
North Carolina,8.41,8.54,8.54,8.2,8.64,8.32,8.82,8.75,–,–,–,–,8.52
North Dakota,8.76,8.86,8.86,9.12,9.37,9.78,9.55,9.86,–,–,–,–,9.27
Ohio,9.67,9.82,9.91,10.24,10.05,9.88,9.75,10.03,–,–,–,–,9.91
Oklahoma,7.82,7.88,7.74,8.04,7.88,8.15,8.27,8.29,–,–,–,–,8
Oregon,8.72,8.73,8.82,8.89,8.97,8.89,8.9,8.94,–,–,–,–,8.85
Pennsylvania,9,9.14,9.1,9.13,9.11,8.9,8.9,8.93,–,–,–,–,9.02
Rhode Island,15.58,15.8,15.57,15.37,13.87,14.55,15.2,15.55,–,–,–,–,15.18
South Carolina,10.14,10.42,10.35,10.48,10.21,10.66,10.71,10.67,–,–,–,–,10.45
South Dakota,8.94,9.04,9.18,9.64,9.69,10,9.86,9.65,–,–,–,–,9.5
Tennessee,10.42,10.38,10.35,10.27,10.33,10.77,10.67,10.56,–,–,–,–,10.46
Texas,7.96,8.22,8.28,8.42,8.28,8.34,8.29,8.22,–,–,–,–,8.25
Utah,8.07,8.2,8.3,8.46,9.21,9.48,9.32,9.05,–,–,–,–,8.76
Vermont,14.34,14.43,14.4,14.72,14.83,14.8,14.71,14.27,–,–,–,–,14.56
Virginia,8.02,7.72,7.73,7.86,7.81,7.87,8.32,8.41,–,–,–,–,7.96
Washington,8.37,8.39,8.44,8.37,8.38,8.54,8.46,8.43,–,–,–,–,8.42
West Virginia,9.57,9.71,9.73,9.94,9.68,9.37,9.21,9.34,–,–,–,–,9.56
Wisconsin,10.73,10.88,10.9,10.85,11.45,11.52,11.2,11.3,–,–,–,–,11.1
Wyoming,9.19,9.39,9.45,9.94,10.02,10.22,9.77,9.72,–,–,–,–,9.71
