STATE,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Average
Alabama,12.11,12.48,12.59,12.71,12.73,12.79,12.53,12.78,–,–,–,–,12.59
Alaska,20.57,20.59,20.9,21.42,22.04,22.13,22.3,21.8,–,–,–,–,21.46
Arizona,11.31,11.46,11.55,12.49,13.04,12.65,12.74,12.72,–,–,–,–,12.24
Arkansas,9.18,9.46,9.57,10.4,10.49,10.73,10.67,10.61,–,–,–,–,10.13
California,18.44,18.55,18.65,14.09,18.29,19.39,18.85,19.02,–,–,–,–,18.16
Colorado,11.53,11.69,11.75,11.95,11.91,12.75,12.45,12.46,–,–,–,–,12.06
Connecticut,19.28,19.56,19.72,20.12,20.94,20.47,20.23,20.55,–,–,–,–,10.1
Delaware,12.83,13.08,13.33,13.62,14.77,13.40,12.71,13.13,–,–,–,–,13.35
DC,12.37,12.58,12.72,13.10,13.55,12.59,12.23,12.62,–,–,–,–,12.72
Florida,11.54,11.73,11.74,11.58,11.38,12.02,11.93,11.86,–,–,–,–,11.72
Georgia,10.86,11.19,11.36,11.49,11.70,12.53,12.59,12.74,–,–,–,–,11.8
Hawaii,28.32,28.81,28.89,30.33,29.07,30.45,29.25,28.76,–,–,–,–,29.23
Idaho,9.26,9.43,9.56,9.76,10.17,11.42,10.58,10.63,–,–,–,–,10.1
Illinois,11.27,11.68,12.32,13.20,13.71,12.95,12.07,12.59,–,–,–,–,12.47
Indiana,11.28,11.49,11.64,12.57,12.3,12.05,11.85,11.97,–,–,–,–,11.89
Iowa,10.79,10.95,11.16,12.19,13.11,13.92,14.6,14.69,–,–,–,–,12.67
Kansas,11.95,12.37,12.65,13.58,13.77,13.56,13.61,13.62,–,–,–,–,13.13
Kentucky,10.26,10.4,10.43,10.76,10.66,10.68,10.64,10.61,–,–,–,–,10.55
Louisiana,7.71,8.52,8.8,9.35,9.88,10.19,9.99,9.82,–,–,–,–,9.28
Maine,15.95,15.98,15.96,16.05,16.18,16.17,15.96,15.96,–,–,–,–,16.02
Maryland,14.25,14.30,14.25,14.33,14.53,14.22,13.59,13.93,–,–,–,–,14.17
Massachusetts,19.59,19.72,19.76,20.70,20.03,19.97,19.88,19.94,–,–,–,–,19.94
Michigan,15.23,15.31,15.33,15.40,15.85,15.86,15.69,15.7,–,–,–,–,15.54
Minnesota,12.13,12.44,12.48,13.03,13.36,13.96,14.02,13.89,–,–,–,–,13.16
Mississippi,10.57,10.88,11.07,11.64,11.68,11.4,11.1,10.98,–,–,–,–,11.16
Missouri,9.37,9.61,9.85,10.90,11.85,13.25,13.16,12.86,–,–,–,–,11.35
Montana,10.61,10.61,10.65,10.93,11.29,11.73,11.59,11.46,–,–,–,–,11.1
Nebraska,9.28,9.57,9.85,10.69,11.25,12.06,12,12.13,–,–,–,–,10.85
Nevada,11.55,11.7,11.84,12.32,12.15,11.64,11.64,11.77,–,–,–,–,11.82
New Hampshire,18.48,18.67,18.77,19.01,19.61,19.37,18.98,19.2,–,–,–,–,19.01
New Jersey,15.83,15.77,15.70,15.75,16.22,15.96,16.02,15.86,–,–,–,–,15.88
New Mexico,11.98,12.37,12.48,12.63,12.83,13.41,13.57,13.38,–,–,–,–,12.83
New York,17.30,17.39,17.27,17.31,18.5,18.77,18.82,18.59,–,–,–,–,17.99
North Carolina,10.49,10.79,10.85,11.43,11.27,11.07,11.2,11.37,–,–,–,–,11.05
North Dakota,8.98,9.19,9.3,10.39,11.4,12.34,11.7,12.22,–,–,–,–,10.69
Ohio,11.55,11.81,11.98,12.52,12.51,12.67,12.59,12.62,–,–,–,–,12.28
Oklahoma,9.09,9.88,10.08,11.83,10.74,10.53,10.29,10.59,–,–,–,–,10.37
Oregon,10.4,10.45,10.47,10.69,10.86,10.97,10.94,10.93,–,–,–,–,10.71
Pennsylvania,13.79,14.02,14.04,14.46,14.67,14.52,14.31,14.41,–,–,–,–,14.27
Rhode Island,18.98,19.38,18.92,19.64,16.95,16.71,17.19,17.79,–,–,–,–,18.19
South Carolina,12.14,12.47,12.52,13.13,12.99,13.07,12.79,13,–,–,–,–,12.76
South Dakota,10.33,10.48,10.67,11.66,12.25,12.57,12.48,12.44,–,–,–,–,11.61
Tennessee,10.42,10.47,10.51,10.68,10.74,10.93,10.83,10.58,–,–,–,–,10.64
Texas,10.84,11.08,11.15,11.27,11.17,11.16,11.04,11.11,–,–,–,–,11.1
Utah,10.71,10.7,10.71,10.74,10.82,11.48,11.91,11.62,–,–,–,–,11.08
Vermont,17.05,17.26,17.3,17.72,18.04,18.02,17.74,17.72,–,–,–,–,17.6
Virginia,10.58,10.8,11,11.5,11.88,11.91,12.41,12.42,–,–,–,–,11.56
Washington,9.24,9.25,9.26,9.43,9.68,9.95,9.87,9.85,–,–,–,–,9.56
West Virginia,11.31,11.42,11.46,11.86,12.02,11.69,11.6,11.67,–,–,–,–,11.62
Wisconsin,14,14.15,14.26,14.75,15.35,15.05,14.65,14.98,–,–,–,–,14.64
Wyoming,10.57,10.66,10.73,11.48,11.69,12.21,12.15,12.09,–,–,–,–,11.44
